,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,semester
0,101208087,62,62,62,62,62,62,62,62,62,62,62,50,62,62,62,62,62,62,13,55
1,102205089,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,91
2,101208066,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,30,62,17,77
3,101208030,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,99
4,102208075,62,62,62,64,62,40,62,62,62,62,62,66,62,62,62,62,62,50,40,74
5,102205037,62,62,62,62,62,62,62,62,62,62,61,50,62,62,62,62,62,65,13,66
6,102104031,62,62,62,62,61,62,62,62,61,62,62,66,62,62,65,62,62,30,30,83
7,101208085,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,71
8,101208069,62,62,62,61,62,62,62,40,62,62,62,66,62,62,62,62,30,62,17,89
9,102208088,62,62,62,62,62,30,62,62,62,62,62,65,62,62,62,62,62,50,40,56
10,102208081,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,81
11,102208058,62,62,62,62,62,62,62,62,62,62,62,65,62,62,62,62,62,50,80,33
12,102208049,62,62,62,62,62,40,62,61,62,62,62,61,62,62,62,62,62,62,35,53
13,102208033,62,62,62,62,62,40,62,62,62,62,62,61,62,62,62,62,62,62,35,67
14,102208008,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,92
15,101208074,62,62,62,62,62,62,62,62,62,62,62,66,62,62,62,62,62,63,70,63
16,99304030,62,62,62,62,62,62,62,62,62,64,62,10,62,62,62,62,62,62,37,33
17,99203054,62,62,62,62,62,62,62,62,66,63,65,63,62,62,65,62,62,62,70,99
18,103302104,62,64,62,62,62,10,62,62,62,62,62,30,62,62,62,62,62,10,27,99
19,103302103,62,62,62,64,62,63,62,62,62,62,63,30,62,63,62,62,63,30,36,99
20,102306046,62,62,65,62,62,62,62,62,62,62,63,50,10,62,63,62,62,50,10,78
21,102306041,62,62,63,62,62,62,62,62,62,62,63,62,62,62,62,62,10,65,16,48
22,102209035,62,62,62,62,62,65,62,62,62,62,62,10,62,62,62,62,62,66,37,55
23,102208090,62,62,62,62,62,30,62,30,30,62,62,62,62,62,62,62,62,30,26,83
24,102208089,62,62,62,62,62,40,62,62,62,62,62,62,62,62,30,62,62,62,39,80
25,102208086,62,62,62,62,63,62,62,62,62,62,64,62,62,62,62,62,62,63,70,96
26,102208085,62,62,62,62,62,30,62,62,62,62,62,62,62,62,62,62,62,62,35,84
27,102208084,62,62,63,62,62,62,62,62,62,62,61,62,62,62,62,30,62,30,40,65
28,102208083,62,62,62,62,62,40,62,62,65,62,62,65,63,62,62,62,62,66,35,61
29,102208082,62,62,62,62,62,61,62,62,62,62,62,65,62,62,62,62,62,62,70,94
30,102208078,62,62,62,62,62,40,62,62,62,62,62,62,30,62,63,62,62,50,10,66
31,102208074,62,62,62,62,62,62,62,62,62,62,62,40,62,62,62,62,62,50,90,78
32,102208073,62,62,40,61,62,62,61,62,62,62,62,50,62,62,62,62,62,62,19,80
33,102208068,62,62,63,62,62,40,62,62,62,62,62,65,62,62,62,62,62,62,35,67
34,102208066,62,63,62,62,62,30,62,62,62,62,62,63,62,62,65,62,62,50,40,77
35,102208065,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,62,62,62,70,72
36,102208064,62,62,62,62,62,61,62,62,62,62,62,30,62,62,62,62,62,62,14,47
37,102208063,62,62,62,63,62,62,62,62,62,62,40,66,62,10,62,10,62,10,50,68
38,102208062,62,62,62,62,62,62,62,62,62,30,62,30,62,62,62,62,62,62,15,41
39,102208061,62,62,62,62,62,30,63,62,62,62,62,62,62,62,62,62,62,62,35,88
40,102208060,62,62,62,62,20,61,62,62,62,62,62,62,62,62,62,62,62,62,23,57
41,102208059,62,64,62,62,62,30,30,65,65,62,62,50,65,62,62,62,64,62,34,67
42,102208057,62,62,62,62,40,40,62,62,62,62,62,65,62,62,62,62,62,62,28,87
43,102208056,62,62,30,62,10,30,62,63,62,62,62,66,62,62,62,62,62,40,24,83
44,102208055,62,62,62,30,62,61,62,62,62,62,62,62,62,62,62,62,62,62,12,90
45,102208054,62,62,63,30,62,30,62,62,62,62,62,30,62,62,62,62,62,50,32,64
46,102208053,62,62,62,62,62,40,62,62,62,63,62,62,62,62,62,62,62,62,35,32
47,102208052,62,62,62,62,62,30,62,62,62,62,61,50,62,62,64,62,62,65,33,92
48,102208046,62,62,62,62,65,40,62,62,61,62,65,62,62,62,62,62,62,50,40,99
49,102208045,62,62,62,62,62,62,62,62,66,62,62,66,62,62,62,62,62,65,70,99
50,102208044,62,62,62,62,62,40,62,65,62,62,50,50,62,62,62,62,65,62,33,58
51,102208043,62,62,62,62,62,62,62,62,62,62,62,62,62,62,66,62,62,66,70,73
52,102208042,62,62,30,62,30,62,62,62,62,62,62,62,62,62,62,62,62,30,24,93
53,102208041,62,62,20,30,30,61,62,62,62,62,20,30,62,62,63,10,62,20,31,64
54,102208038,62,62,62,62,62,30,62,62,62,62,61,63,62,62,62,62,62,62,35,68
55,102208034,62,62,62,62,62,62,62,62,62,62,62,50,62,62,62,62,62,62,13,76
56,102208032,62,62,62,62,62,40,62,62,62,62,62,40,62,62,62,62,62,40,38,68
57,102208030,62,62,62,62,61,40,30,20,61,62,50,62,62,62,65,62,64,62,30,83
58,102208029,62,62,61,62,61,30,62,62,62,62,50,50,62,62,62,62,62,62,33,99
59,102208024,62,62,30,62,62,62,62,62,62,62,62,65,62,62,62,62,62,65,19,99
60,102208023,62,62,62,63,63,62,62,62,65,62,62,62,62,62,62,62,62,62,70,99
61,102208022,62,62,62,62,62,61,62,62,62,62,62,50,62,62,62,62,62,50,90,91
62,102208021,62,62,62,62,62,62,62,62,62,10,62,62,62,62,62,62,62,62,20,84
63,102208018,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,94
64,102208017,62,62,62,62,62,62,62,62,62,62,62,66,62,62,62,62,62,50,80,90
65,102208014,62,62,62,40,61,62,62,62,62,62,62,10,62,62,62,62,62,65,37,70
66,102208010,62,62,62,61,62,61,62,62,62,20,62,66,62,65,62,62,62,50,20,95
67,102208007,62,62,62,62,62,64,62,63,62,63,62,50,62,62,62,62,62,66,13,66
68,102208006,62,62,62,62,62,65,62,62,62,62,50,62,62,62,62,62,62,50,80,90
69,102208005,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,66
70,102208004,62,62,30,62,62,40,62,30,62,62,30,62,62,64,62,62,64,64,30,99
71,102208002,62,62,62,62,62,63,62,62,62,62,62,62,62,62,62,62,62,62,70,68
72,102208001,62,62,62,64,30,61,62,62,62,62,62,62,62,62,62,62,62,62,23,92
73,102205095,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,99
74,102205092,62,62,62,62,30,30,62,62,62,62,62,63,62,62,62,62,62,61,28,87
75,102205081,62,62,62,62,62,62,62,62,62,62,62,50,62,62,62,62,62,62,13,62
76,102205051,62,62,64,62,62,62,62,62,62,62,62,65,62,62,62,62,66,65,70,60
77,102205033,62,62,62,62,62,62,62,62,62,62,62,66,62,62,62,62,62,62,70,72
78,102205030,62,62,62,62,30,10,62,62,62,62,62,62,62,62,62,62,62,30,27,62
79,102205024,62,62,62,62,62,62,62,62,63,62,62,62,62,62,62,62,62,62,70,99
80,102205022,62,62,30,62,62,40,62,64,62,62,62,62,62,62,62,62,62,62,19,56
81,102205020,62,62,63,30,62,40,62,62,62,62,62,30,62,62,62,62,62,66,32,65
82,102205017,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,97
83,102103012,62,62,62,62,40,30,62,66,30,62,62,65,62,62,62,62,62,66,28,72
84,101502012,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,96
85,101401042,62,62,62,62,62,61,62,62,62,62,62,61,62,62,62,62,62,62,70,60
86,101302049,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,30,30,49
87,101209037,62,62,62,62,61,61,62,62,62,62,64,61,62,62,62,62,30,62,17,76
88,101208094,62,62,62,62,62,61,30,62,62,62,62,65,62,62,62,62,62,63,60,73
89,101208091,62,62,63,62,62,30,62,62,63,62,62,62,62,62,62,62,62,62,35,90
90,101208090,62,62,62,62,62,30,62,30,30,62,62,50,62,62,62,62,30,62,21,99
91,101208084,62,62,61,62,62,61,62,62,62,62,62,62,62,62,62,62,62,62,70,83
92,101208082,62,62,62,62,61,40,62,62,62,62,64,50,62,62,62,62,62,65,33,85
93,101208080,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,65,70,99
94,101208079,62,62,62,30,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12,89
95,101208078,62,62,62,62,62,62,62,62,62,62,63,62,62,62,62,62,62,62,70,67
96,101208070,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,92
97,101208065,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,99
98,101208064,62,62,62,62,30,62,62,62,62,62,40,62,62,62,63,62,62,62,23,74
99,101208062,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,82
100,101208060,62,62,62,62,62,62,62,62,62,62,62,20,62,62,62,62,62,66,37,70
101,101208058,62,40,63,50,62,40,62,65,62,62,63,40,10,62,62,62,62,65,10,99
102,101208056,62,62,62,62,63,62,62,62,62,62,63,40,62,62,62,62,63,62,14,80
103,101208055,62,62,62,61,62,62,62,40,62,62,62,65,62,62,62,62,62,62,10,79
104,101208054,62,62,62,62,61,63,62,62,62,62,62,40,62,62,62,62,62,62,14,80
105,101208053,62,62,62,62,62,62,62,62,62,62,62,62,62,30,62,30,62,62,40,82
