id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
101208087,234,234,234,234,234,234,234,234,234,234,234,141,234,234,234,234,234,234,1141
102205089,234,234,234,234,234,234,234,234,234,234,234,231,234,234,234,234,234,231,3262
101208066,234,234,234,231,231,234,234,234,231,234,231,234,234,234,234,234,222,234,3261
101208030,234,231,234,234,234,234,234,234,234,234,234,234,234,231,234,234,234,234,3262
102208075,234,234,234,231,234,130,234,234,234,234,234,130,234,234,234,234,234,130,7400
102205037,234,234,234,234,234,234,234,234,234,231,244,144,234,234,234,234,234,241,1141
102104031,234,234,231,234,110,234,234,234,110,231,234,110,234,234,233,234,234,223,1409
101208085,234,234,234,234,234,234,234,234,234,234,234,233,234,234,234,234,234,234,3262
101208069,234,234,242,243,233,242,234,141,231,234,234,110,234,234,234,234,223,233,1119
102208088,234,234,234,234,234,211,234,231,234,234,234,241,234,234,234,234,234,310,3140
102208081,234,234,234,234,234,234,234,234,234,231,234,234,234,234,234,234,234,231,3262
102208058,234,234,234,234,234,233,234,234,234,234,234,110,234,234,234,234,234,320,1110
102208049,234,234,234,234,234,142,244,243,234,234,234,130,234,234,234,234,234,234,1130
102208033,234,234,234,234,234,330,234,234,234,234,234,110,234,234,234,234,234,234,1144
102208008,234,234,234,242,242,234,234,234,234,234,234,234,234,234,234,234,233,233,3262
101208074,234,234,234,234,234,244,234,234,234,234,234,141,234,234,234,234,234,213,1142
99304030,234,234,234,234,231,234,234,234,231,213,231,410,234,234,234,234,234,233,8320
99203054,234,231,233,231,234,234,234,234,130,212,243,212,234,234,242,234,234,234,3600
103302104,234,231,234,234,234,410,234,234,234,231,234,430,234,234,234,234,234,410,4200
103302103,234,234,234,213,234,212,234,234,234,234,213,430,234,213,234,234,212,211,8420
102306046,234,234,233,231,231,233,234,231,234,234,212,340,430,231,213,234,234,130,8230
102306041,234,234,213,231,231,234,234,231,234,234,214,233,234,234,234,234,410,243,5300
102209035,234,234,231,234,234,244,231,234,234,231,231,440,234,234,234,234,234,110,8440
102208090,234,234,234,231,234,223,231,211,223,231,234,231,234,234,231,234,234,223,3250
102208089,234,234,234,234,231,144,234,234,231,234,231,233,234,234,222,234,234,234,7340
102208086,234,234,234,234,212,231,234,231,234,231,213,234,231,231,231,234,234,213,3250
102208085,234,234,234,242,234,223,234,234,233,234,234,234,234,234,234,234,234,234,3263
102208084,234,234,213,234,234,231,234,234,234,234,130,231,234,234,234,223,234,223,3339
102208083,234,231,234,234,234,130,234,234,244,231,234,243,213,234,234,234,234,110,7100
102208082,234,234,234,234,231,243,234,234,234,234,233,242,234,234,234,234,234,233,3266
102208078,234,234,234,234,231,141,234,234,234,234,231,234,223,231,231,234,234,142,7100
102208074,234,234,234,231,234,234,234,234,234,234,233,340,234,234,234,234,234,320,8310
102208073,234,234,130,110,234,233,130,234,233,234,234,130,234,234,234,234,234,234,1500
102208068,234,234,231,234,234,130,234,234,231,234,234,244,234,234,234,234,231,234,7320
102208066,234,212,234,234,231,222,231,234,231,234,233,214,234,231,241,234,231,340,3140
102208065,234,234,234,231,234,234,234,231,234,234,234,234,234,234,212,234,234,234,3264
102208064,234,234,234,234,234,243,234,234,234,234,234,120,234,234,234,234,234,234,1143
102208063,234,234,234,212,231,233,234,231,234,234,340,110,234,430,234,440,234,430,2400
102208062,234,234,231,234,234,242,234,234,234,223,231,120,234,234,234,234,231,234,1143
102208061,234,231,234,234,234,430,212,234,234,234,234,234,234,234,234,234,234,234,4300
102208060,234,234,234,234,430,130,234,234,234,234,234,231,234,234,234,234,234,234,7600
102208059,234,231,231,234,234,223,211,244,242,234,244,320,242,234,234,234,213,234,8330
102208057,234,234,234,234,320,141,234,234,234,234,234,244,234,234,234,234,234,234,7600
102208056,234,234,223,234,430,222,234,231,234,234,234,110,234,231,234,234,234,320,1200
102208055,234,234,234,223,234,130,233,234,234,234,233,242,234,234,234,234,234,233,7320
102208054,234,234,213,211,233,211,234,234,234,234,234,120,234,231,234,234,234,141,1160
102208053,234,234,234,234,234,144,234,234,234,213,234,234,234,234,234,234,234,234,7340
102208052,234,234,234,231,234,430,231,234,234,234,110,141,234,234,212,234,234,242,4100
102208046,234,234,234,234,242,310,234,234,130,234,243,234,234,234,234,234,231,141,6600
102208045,234,234,234,234,234,234,234,234,130,234,234,110,234,234,234,234,234,243,1150
102208044,234,234,234,234,234,340,234,110,234,234,330,130,234,234,234,234,243,231,1300
102208043,234,234,234,234,234,234,234,234,234,234,234,234,234,234,110,234,234,110,6100
102208042,234,231,211,234,221,234,234,234,234,234,234,234,234,234,234,234,234,223,3240
102208041,234,234,410,223,221,110,234,234,233,234,222,120,234,234,212,440,233,430,2100
102208038,234,234,234,234,231,223,234,234,234,234,110,213,234,234,234,234,234,234,3329
102208034,234,231,234,234,234,234,234,234,234,234,234,144,234,234,234,234,234,233,1141
102208032,234,234,234,234,234,130,234,234,234,234,234,143,234,234,234,234,234,144,7400
102208030,234,234,234,234,110,141,222,420,244,234,340,234,234,231,244,234,231,234,7200
102208029,234,234,244,231,110,223,234,234,234,234,141,130,234,234,234,234,234,234,1419
102208024,234,234,222,234,234,233,234,234,233,234,234,244,234,234,234,234,234,244,3266
102208023,234,234,234,231,213,233,234,234,242,234,234,233,234,234,234,234,234,234,3220
102208022,234,234,233,231,234,110,234,231,234,234,231,320,234,234,234,234,234,130,7100
102208021,234,234,234,234,234,234,234,234,234,430,234,234,234,234,234,234,234,234,3500
102208018,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,3262
102208017,234,231,234,234,234,234,234,234,234,231,231,110,231,234,234,234,234,141,1160
102208014,234,234,234,340,243,234,234,231,234,231,234,440,234,234,234,234,234,242,8600
102208010,234,231,234,130,233,244,234,234,234,410,234,110,234,242,234,234,234,320,1600
102208007,234,234,234,234,234,214,234,212,234,213,234,141,234,234,234,234,234,110,6200
102208006,234,234,234,231,234,242,234,234,234,234,340,234,234,234,234,234,234,141,6400
102208005,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,3262
102208004,234,234,211,234,233,141,234,211,234,234,213,231,234,212,231,234,212,212,7310
102208002,234,234,234,234,234,213,234,234,231,234,234,234,234,234,234,234,234,231,3263
102208001,234,234,234,212,211,130,234,233,234,234,234,234,234,234,234,234,234,234,7350
102205095,234,234,231,234,231,234,234,234,234,234,234,234,234,231,234,234,234,234,3262
102205092,234,234,231,231,223,223,234,234,234,234,234,212,231,234,231,234,234,110,6200
102205081,234,234,231,234,234,234,234,234,234,234,234,142,234,234,234,234,234,233,1141
102205051,234,234,212,234,234,234,234,234,234,234,233,242,234,234,234,234,130,244,3210
102205033,234,234,234,234,234,234,234,234,234,234,234,110,234,234,234,234,234,233,1143
102205030,234,234,234,234,211,410,234,234,234,231,234,234,234,234,234,234,234,222,4300
102205024,234,234,234,234,234,231,234,234,231,234,234,234,234,231,234,234,234,234,3262
102205022,234,234,223,234,234,340,234,213,234,234,234,233,234,234,234,234,234,233,4300
102205020,234,234,212,222,234,320,234,234,234,234,234,223,234,234,234,234,234,130,6500
102205017,234,234,231,231,231,234,231,234,234,231,234,234,231,234,234,231,234,234,3262
102103012,234,231,234,234,320,221,234,110,120,231,234,242,234,234,234,234,234,110,6300
101502012,234,231,234,234,233,242,234,234,234,231,234,231,234,234,234,234,234,231,3262
101401042,234,234,234,234,234,110,231,234,234,234,234,110,234,234,234,234,234,234,1130
101302049,234,234,234,234,234,231,234,231,234,234,231,231,234,234,234,234,231,222,3265
101209037,234,234,234,234,110,130,234,234,234,231,231,130,234,234,231,234,223,242,1430
101208094,234,234,234,234,234,110,222,234,234,234,234,243,234,234,234,231,234,214,7360
101208091,234,234,212,231,231,222,234,234,212,234,233,234,234,234,234,234,234,234,3240
101208090,234,234,234,234,231,211,234,211,222,231,234,330,234,234,234,234,213,234,8330
101208084,234,234,243,234,234,110,234,234,234,234,234,234,234,234,234,234,234,234,7360
101208082,234,231,234,231,110,130,234,234,234,234,231,320,234,231,231,234,234,242,8100
101208080,234,234,234,234,231,234,234,234,234,231,234,234,234,234,234,231,234,243,3262
101208079,234,231,231,221,234,234,234,234,234,234,234,234,234,234,234,234,231,231,3261
101208078,234,234,234,234,234,233,234,234,234,234,231,242,234,234,234,234,234,234,3266
101208070,234,234,234,234,234,234,234,234,234,234,231,234,234,234,234,234,234,234,3262
101208065,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,3262
101208064,234,234,234,234,211,234,231,234,234,234,130,234,234,234,212,234,231,234,3339
101208062,234,231,234,231,234,234,234,231,231,234,234,234,234,234,234,234,233,233,3262
101208060,234,234,231,234,234,234,234,234,234,234,234,430,234,234,234,234,234,110,8440
101208058,234,340,241,142,231,144,231,244,234,231,242,310,440,234,234,234,234,243,8220
101208056,234,234,234,234,213,234,234,234,234,234,231,320,234,234,234,234,212,234,8330
101208055,234,234,234,130,234,234,234,142,234,234,234,242,234,234,234,234,234,233,3229
101208054,234,234,234,234,110,241,234,234,234,234,234,141,234,234,234,234,234,234,1440
101208053,234,231,234,234,234,234,234,234,234,234,234,234,231,211,234,430,234,234,3400
101208052,234,231,231,234,234,120,234,234,231,223,231,310,231,231,231,234,234,231,7330
101208050,234,234,212,234,234,340,231,234,234,234,234,340,234,234,234,234,234,234,4400
101208034,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,3262
101208031,234,234,234,231,234,242,234,231,120,234,234,234,234,234,234,234,234,234,3600
101208025,234,234,212,213,234,142,234,234,234,234,222,430,234,234,234,234,234,211,8410
